sub_id,task,nr_targets,mean_rt,pc,mean_il
1.0,Discrim,1.0,722.51377057,0.944444444444,167.450760135
2.0,Discrim,1.0,666.624976361,0.983333333333,68.4438968897
3.0,Discrim,1.0,672.14786879,0.95,140.950040877
4.0,Discrim,1.0,528.997854688,0.95,258.190129262
5.0,Discrim,1.0,640.399091097,1.0,351.084345445
6.0,Discrim,1.0,592.580493723,0.894444444444,367.829662245
7.0,Discrim,1.0,630.849808724,0.933333333333,441.049547746
8.0,Discrim,1.0,738.4309644,0.994444444444,476.302146601
9.0,Discrim,1.0,706.854706661,0.961111111111,121.194274638
10.0,Discrim,1.0,609.585245866,0.938888888889,351.920717172
1.0,Discrim,2.0,747.343878425,0.955555555556,158.239430793
2.0,Discrim,2.0,724.862238403,0.972222222222,62.1290507991
3.0,Discrim,2.0,714.894164766,0.972222222222,138.119062388
4.0,Discrim,2.0,531.135283362,0.938888888889,250.659565242
5.0,Discrim,2.0,704.253795237,0.972222222222,363.085203486
6.0,Discrim,2.0,632.40514123,0.905555555556,366.581237614
7.0,Discrim,2.0,693.694977257,0.966666666667,499.579010544
8.0,Discrim,2.0,857.089029921,1.0,523.710081474
9.0,Discrim,2.0,776.85707253,0.972222222222,122.646670731
10.0,Discrim,2.0,645.392383601,0.95,384.644522928
1.0,Detect,1.0,604.129588117,1.0,185.689053595
2.0,Detect,1.0,518.207195863,0.988888888889,52.2841968807
3.0,Detect,1.0,498.191687961,0.983333333333,174.192150913
4.0,Detect,1.0,442.139532125,0.994444444444,235.886802252
5.0,Detect,1.0,570.177353745,0.994444444444,329.730044993
6.0,Detect,1.0,445.815351689,0.966666666667,194.462706736
7.0,Detect,1.0,515.201310758,0.983333333333,383.368169947
8.0,Detect,1.0,611.232851051,1.0,406.659307107
9.0,Detect,1.0,490.559480057,0.994444444444,97.9641718006
10.0,Detect,1.0,440.499086789,0.988888888889,287.489456251
1.0,Detect,2.0,604.264794325,0.994444444444,191.207706369
2.0,Detect,2.0,506.874421713,0.988888888889,49.8710066152
3.0,Detect,2.0,486.29928993,1.0,180.158269844
4.0,Detect,2.0,438.05242655,1.0,238.709277444
5.0,Detect,2.0,561.520735347,1.0,327.033929649
6.0,Detect,2.0,423.881320585,0.988888888889,177.976629777
7.0,Detect,2.0,487.354708149,0.994444444444,363.454688388
8.0,Detect,2.0,589.897459548,0.994444444444,403.263529143
9.0,Detect,2.0,494.134925989,1.0,97.7341081299
10.0,Detect,2.0,425.473900195,1.0,280.098170771
1.0,Detect,0.0,621.418216506,0.983333333333,181.699168833
2.0,Detect,0.0,568.978929326,0.988888888889,53.0809147519
3.0,Detect,0.0,575.912113899,0.922222222222,185.568635397
4.0,Detect,0.0,472.884809995,0.977777777778,238.617305754
5.0,Detect,0.0,655.791825458,0.966666666667,342.305995372
6.0,Detect,0.0,486.552761489,0.944444444444,178.102727842
7.0,Detect,0.0,526.966764731,0.972222222222,388.155761454
8.0,Detect,0.0,630.113781244,0.983333333333,439.918345608
9.0,Detect,0.0,559.531904112,0.972222222222,91.3321847197
10.0,Detect,0.0,501.496500623,0.933333333333,300.523911272
